genre,songName,singer,musicDirector,lyricist,movie,year
playful_songs,Ab Kahan Jayenge - Sad,Amit Kumar,Hemant Bhosle,Irshad Kamil,Sansani,1981
playful_songs,Ab Ke Baras Dua Hai,Altaf Raja,Altaf Raja,Altaf Raja,Harrjaiie (Album),2006
playful_songs,Ab Kisko Sunau Mai Khatha Krishan,Lata Mangeshkar,Gyan Dutt,F M Kaiser,Dukhiyari,1948
playful_songs,Ab Mai Chand Dekhungi,Pushplata,Narendra Chanchal,Naresh Ramdev,Jai Jai Santoshi Maa,2009
playful_songs,Ab Mushkil Hai Phir Se Milna,Ahima Banerjee*Talat Mahmood,Ram Ganguly,Verma Malik,Saaya,1961
playful_songs,Ab Na Jaa,Palash Sen,Palash Sen,Palash Sen,Gully (album),2003
playful_songs,Ab Na Zaban Par Tale Dalo,Shanti*Mumtaz,Pandit Ravi Shankar,Ali Sardar Jafri,Dharti Ke Lal,1946
playful_songs,Ab To Humko Ek Duje Ka,Asha Bhosle*Amit Kumar,R D Burman,Gulshan Bawra,Indra Jeet,1991
playful_songs,Ab To Jane Do Saiya Mulaqat Ho Gayi,Asha Bhosle,Sapan Jagmohan,Naqsh Lyallpuri,Gunah Aur Kanoon,1970
playful_songs,Ab To Tumhe Hai Dikhana,Udit Narayan*Abhijeet,Jatin Lalit,Mirza,Yaara Dildara,1991
playful_songs,Ab Tum Aaye Ho To,Anuradha Paudwal,Laxmikant Pyarelal,Anand Bakshi,Humlaa,1992
playful_songs,Ab Tum Ho Hamare,Bhupinder Singh*Anuradha Paudwal,Amin Sangeet,Yogesh Gaud,Saahas,1979
playful_songs,Ab Wafa Ka Naam Na Le Koi,Hemlata,Vedpal Varma,Sawan Kumar,Oh Bewafaa,1980
playful_songs,Ab Waqt Ki Aahat,Sowmya Raoh,Anand Milind,Jalees Rashid,Inteqam,2004
playful_songs,Ab Zulm Na Hoga Bahuo Par,Jayashree Shivaram*Ramgopal Gupta,Jugal Kishore,NotFound,Bandook Dahej Ke Seeney Par,1989
playful_songs,Abba Kahe Na Amma Kahe Na Dada Kahe Na,Kishore Kumar,Chitalkar Ramchandra,Rajinder Krishan,Payal Ki Jhankar,1968
playful_songs,Abhi Abhi Mere Dil Me (Part 2),Sonu Nigam*Kunal Ganjawala*Sunidhi Chauhan,Sandesh Shandilya,Subrat Sinha,Socha Na Tha,2005
playful_songs,Abhi Abhi Taza Taza Mili Hai Khabar,Asha Bhosle*Shabbir Kumar,Laxmikant Pyarelal,Gulshan Bawra,Qurbani Rang Layegi,1991
playful_songs,Abhi To Baki Hai Kahani Rato Ki,Asha Bhosle,C Arjun,S H Bihari,Mangu Dada,1970
playful_songs,Acchi Acchi Mummy,NotFound,NotFound,NotFound,Kaun Jeeta Kaun Haara,1987
playful_songs,Adhuri Zindagi,Rituraj Mohanty,Himesh Reshammiya,Sameer Anjaan,Teraa Surroor,2016
playful_songs,Adiye Adiye,Avril Quadros*Sanchita Bhattacharya,Ismail Darbar,Irshad Kamil,Kaanchi,2014
playful_songs,Ae Aasman Wale Is Waqt Tu Kaha Hai,Mohammed Rafi,Mustafa Yusuf,Abdur Rab Chaush,Ziarat Gahe Hind,1970
playful_songs,Ae Chaman Bata Kyu Hansta Hai,Kalyani Das,Kamal Dasgupta,NotFound,Manmani,1947
playful_songs,Ae Chand Nazar Na Lagana,Khursheed,Bulo C Rani,Pandit Indra,Moorti,1945
playful_songs,Ae Dil Behak Na Jana,Kishore Kumar,Bipin Datta,Noor Devasi,Baghi Shahzada,1964
playful_songs,Ae Dil Jaha Me Tera Thikana Koi Nahi,Zohrabai Ambalewali,Ghulam Mohammed,Akhtar ul Iman,Parai Aag,1948
playful_songs,Ae Dil-e-nakaam Tamanna,Mohammed Rafi,Govind Ram,Ramesh Gupta,Hamara Sansar,1945
playful_songs,Ae Falak Yuhi Sathatha Jayega,Shamshad Begum,Ghulam Haider,NotFound,But Tarash,1947
playful_songs,Ae Hawa Ja Ja Ja,Noor Jehan,Zafar Khursheed,Shams Lakhnavi,Dil,1946
playful_songs,Ae Ji Maine Poochha Apko Huzur Kya Hua (Asha),Asha Bhosle,Roshan,Rahil Gorakhpuri,Maine Jeena Seekh Liya,1959
playful_songs,Ae Ji Maine Poochha Apko Huzur Kya Hua (Rafi),Mohammed Rafi,Roshan,Rahil Gorakhpuri,Maine Jeena Seekh Liya,1959
playful_songs,Ae Mere Deewane Dil,Asha Bhosle,Laxmikant Pyarelal,Anand Bakshi,Baghaawat,1982
playful_songs,Ae Mere Dil Diwane,Asha Bhosle,Sapan Jagmohan,Naqsh Lyallpuri,Lal Kothi,1978
playful_songs,Ae Naznin Ae Gulbadan,Manna Dey,Ganesh,Asad Bhopali,Ek Nanhi Munni Ladki Thi,1970
playful_songs,Ae Raat Ke Andhere Mujhko Gale Laga Le (Version 1),Asha Bhosle,Usha Khanna,Asad Bhopali,Woh Koi Aur Hoga,1967
playful_songs,Ae Rote Hue Sawan Mujhe Kuch To Bata De,Zeenat Begum,Hansraj Behl,Roopbani,Roomal,1949
playful_songs,Ae Sanam Tum Hi Base Ho Meri Nigaho Me,Kumar Sanu,Nadeem Shravan,NotFound,Aanchal Tera Dhalka Hua,1991
playful_songs,Aflatoon Aflatoon,Remo Fernandes,Dilip Sen Sameer Sen,Anand Bakshi,Aflatoon,1997
playful_songs,Agar Hum Jo Chahe,Amar,Kamal Dasgupta,Pandit Madhur,Bindiya,1946
playful_songs,Agar Insan Me Himmat Ho To,Sardar Mansoor,Maadhulal Damodar Master,Pandit Indra,Jungle Princess,1942
playful_songs,Agar Mujhse Mohabbat Thi,Suresh Wadkar*Anuradha Paudwal,Aadesh Shrivastava,Shyam Raj,Ek Dhun Pyar Ki,1993
